Date,Flight number,From,To,Dep time,Arr time,Duration,Airline,Aircraft,Registration,Seat number,Seat type,Flight class,Flight reason,Note,Dep_id,Arr_id,Airline_id,Aircraft_id
25/12/2018,LO285,Warsaw / Chopin (Okecie) (WAW/EPWA),London / Heathrow (LHR/EGLL),20:05:00,21:50:00,02:45:00,LOT (LO/LOT),Boeing 737 MAX 8 (B38M),SP-LVB,,1,1,1,,3142,1618,483,2123
10/03/2019,FR2225,London / Stansted (STN/EGSS),Tallinn / Ulemiste (TLL/EETN),06:45:00,11:35:00,02:50:00,Ryanair (FR/RYR),Boeing 737-800 (B738),EI-DLB,,2,1,1,,2785,2956,668,231
27/03/2019,FR2224,Tallinn / Ulemiste (TLL/EETN),London / Stansted (STN/EGSS),12:00:00,12:50:00,02:50:00,Ryanair (FR/RYR),Boeing 737-800 (B738),EI-FZL,,3,1,1,,2956,2785,668,231
02/06/2019,FR2225,London / Stansted (STN/EGSS),Tallinn / Ulemiste (TLL/EETN),05:55:00,10:35:00,02:40:00,Ryanair (FR/RYR),Boeing 737-800 (B738),EI-EMJ,,3,1,1,,2785,2956,668,231
03/07/2019,FR2224,Tallinn / Ulemiste (TLL/EETN),London / Stansted (STN/EGSS),11:35:00,12:30:00,02:55:00,Ryanair (FR/RYR),Boeing 737-800 (B738),EI-DYY,24C,3,1,1,,2956,2785,668,231
09/07/2019,BT650,London / Gatwick (LGW/EGKK),Tallinn / Ulemiste (TLL/EETN),17:45:00,22:30:00,02:45:00,AirBaltic (BT/BTI),Bombardier CS300 (BCS3),YL-AAR,,3,1,1,,1614,2956,154,2113
31/08/2019,BT362,Tallinn / Ulemiste (TLL/EETN),Riga / Riga (RIX/EVRA),05:45:00,06:35:00,00:50:00,AirBaltic (BT/BTI),Bombardier CS300 (BCS3),YL-CSN,,1,1,2,,2956,3623,154,2113
31/08/2019,BT211,Riga / Riga (RIX/EVRA),Berlin / Tegel (TXL/EDDT),07:35:00,08:10:00,01:35:00,AirBaltic (BT/BTI),Bombardier CS300 (BCS3),YL-CSB,,1,1,2,,3623,3055,154,2113
01/09/2019,BT202,Berlin / Tegel (TXL/EDDT),Tallinn / Ulemiste (TLL/EETN),15:05:00,17:55:00,01:50:00,AirBaltic (BT/BTI),Bombardier CS300 (BCS3),YL-CSL,,1,1,2,,3055,2956,154,2113
12/11/2019,LO788,Tallinn / Ulemiste (TLL/EETN),Warsaw / Chopin (Okecie) (WAW/EPWA),18:00:00,18:35:00,01:35:00,LOT (LO/LOT),Embraer ERJ-190 (E190),,,0,1,2,,2956,3142,483,655
14/11/2019,LO789,Warsaw / Chopin (Okecie) (WAW/EPWA),Tallinn / Ulemiste (TLL/EETN),21:00:00,23:40:00,01:40:00,LOT (LO/LOT),Embraer ERJ-190 (E190),,,0,1,2,,3142,2956,483,655
